Date,Amount
5/27/2021,4.68
5/27/2021,18.26
5/27/2021,94.19
5/26/2021,4
5/26/2021,11.99
5/25/2021,5.72
5/24/2021,380
5/24/2021,5.25
5/23/2021,79.89
5/23/2021,115.8
5/23/2021,49.24
5/23/2021,20.95
5/23/2021,50.8
5/22/2021,23.35
5/22/2021,625.16
5/22/2021,5.93
5/21/2021,68.92
5/21/2021,24.63
5/21/2021,90
5/20/2021,34.36
5/20/2021,9.99
5/20/2021,23.54
5/18/2021,5.2
5/17/2021,5.98
5/17/2021,36.4
5/17/2021,13.6
5/16/2021,5.75
5/16/2021,64.78
5/15/2021,40.93
5/15/2021,22.2
5/15/2021,16.75
5/14/2021,14.99
5/14/2021,12.3
5/13/2021,5.98
5/13/2021,7.39
5/13/2021,21.53
5/12/2021,5.2
5/12/2021,28.78
5/11/2021,5.2
5/11/2021,63
5/10/2021,5.98
5/9/2021,247.01
5/9/2021,4.78
5/8/2021,47
5/7/2021,5.35
5/7/2021,15.99
5/7/2021,48
5/6/2021,4.68
5/6/2021,0.8
5/6/2021,49.99
5/6/2021,38
5/5/2021,16.94
5/3/2021,77
5/2/2021,15.65
5/1/2021,5.35
5/1/2021,26.99
5/1/2021,6.99
5/1/2021,18.17
4/30/2021,6.15
4/30/2021,8
4/30/2021,123
4/29/2021,11.49
4/26/2021,11.99
4/24/2021,11.73
4/24/2021,128.05
4/23/2021,60.63
4/23/2021,115.88
4/23/2021,39.4
4/22/2021,9.99
4/21/2021,11.79
4/18/2021,16.76
4/18/2021,45.87
4/17/2021,94.21
4/17/2021,3.83
4/17/2021,65.79
4/14/2021,14.99
4/12/2021,10.11
4/12/2021,21.7
4/12/2021,46.08
4/12/2021,3.99
4/12/2021,262.02
4/11/2021,58.39
4/11/2021,55.35
4/10/2021,61.5
4/10/2021,21.34
4/10/2021,36
4/9/2021,1.86
4/9/2021,5.57
4/9/2021,36.14
4/8/2021,47.79
4/6/2021,1000
4/6/2021,49.99
4/6/2021,2.83
4/6/2021,4.88
4/5/2021,40.87
4/3/2021,48.34
4/2/2021,161.75
4/1/2021,6.99
4/1/2021,77
4/1/2021,60
3/31/2021,123
3/30/2021,1
3/30/2021,4.93
3/29/2021,44.56
3/29/2021,4.78
3/28/2021,50.65
3/28/2021,13.96
3/27/2021,3.38
3/27/2021,93.06
3/26/2021,11.99
3/25/2021,86.79
3/23/2021,115.88
3/22/2021,38.44
3/22/2021,53.55
3/22/2021,18.13
3/21/2021,10.81
3/21/2021,57.67
3/21/2021,691.58
3/21/2021,20
3/21/2021,31
3/21/2021,46.87
3/20/2021,11
3/20/2021,19
3/20/2021,28
3/20/2021,28.59
3/20/2021,14.91
3/20/2021,37.5
3/20/2021,135.13
3/19/2021,16.97
3/19/2021,116.71
3/19/2021,32.29
3/19/2021,32.02
3/19/2021,71.62
3/18/2021,270.19
3/18/2021,9.99
3/17/2021,10.5
3/16/2021,235.03
3/14/2021,14.99
3/14/2021,19.76
3/14/2021,4.75
3/14/2021,4.98
3/13/2021,18.78
3/12/2021,3.99
3/8/2021,36.85
3/8/2021,58
3/7/2021,6.15
3/6/2021,49.99
3/6/2021,21.34
3/5/2021,69.66
3/5/2021,6.15
3/5/2021,230.52
3/5/2021,5.05
3/5/2021,11.26
3/4/2021,6.15
3/4/2021,12.32
3/3/2021,76.59
3/2/2021,6.99
3/1/2021,7
3/1/2021,10
2/28/2021,123
2/28/2021,34.03
2/27/2021,52.56
2/27/2021,11.04
2/26/2021,11.99
2/26/2021,31.88
2/25/2021,24.52
2/24/2021,19.27
2/23/2021,472.49
2/23/2021,115.88
2/23/2021,5.25
2/22/2021,25.54
2/22/2021,106.67
2/21/2021,3.07
2/21/2021,6.7
2/21/2021,45.67
2/20/2021,33.67
2/20/2021,21.52
2/19/2021,15.99
2/18/2021,1286.87
2/17/2021,103.82
2/15/2021,322.33
2/15/2021,64.19
2/15/2021,204
2/15/2021,21.2
2/15/2021,1.75
2/14/2021,14.99
2/14/2021,6.49
2/14/2021,25.29
2/14/2021,0.5
2/14/2021,17
2/13/2021,2.25
2/13/2021,27.56
2/12/2021,6.15
2/12/2021,3.99
2/11/2021,429.71
2/11/2021,5.38
2/8/2021,194.91
2/7/2021,11.72
2/6/2021,49.99
2/6/2021,26.22
2/5/2021,9.99
2/5/2021,94.89
2/5/2021,5.46
2/5/2021,22.41
2/4/2021,15.38
2/3/2021,12.5
2/2/2021,139.95
2/2/2021,34.9
2/1/2021,6.99
2/1/2021,7
1/31/2021,103.32
1/31/2021,123
1/31/2021,204.23
1/30/2021,5.75
1/30/2021,83.73
1/24/2021,16.16
1/23/2021,50.49
1/23/2021,17.58
1/23/2021,112.87
1/23/2021,46.02
1/22/2021,3.28
1/22/2021,22.91
1/20/2021,15.74
1/18/2021,4.48
1/18/2021,24.44
1/18/2021,9.48
1/18/2021,20.06
1/18/2021,20.36
1/17/2021,4.87
1/17/2021,317.42
1/17/2021,8.37
1/16/2021,19.49
1/16/2021,12.32
1/15/2021,4.92
1/15/2021,6.23
1/15/2021,5.06
1/15/2021,25.67
1/15/2021,28.49
1/14/2021,14.99
1/14/2021,2.84
1/14/2021,4.98
1/12/2021,10
1/10/2021,30.94
1/9/2021,1.5
1/9/2021,56.22
1/9/2021,380
1/6/2021,49.99
1/5/2021,149
1/3/2021,22.92
1/3/2021,31.55
1/3/2021,228.13
1/2/2021,6.95
1/2/2021,65.57
1/1/2021,6.99
1/1/2021,7
