Date,Amount
7/27/2021,25.08
7/26/2021,11.99
7/26/2021,236.8
7/24/2021,13.03
7/24/2021,108.2
7/23/2021,310
7/23/2021,108.66
7/22/2021,28.91
7/20/2021,21.38
7/18/2021,91.75
7/17/2021,147.42
7/17/2021,232.77
7/16/2021,10.5
7/16/2021,114.18
7/15/2021,1
7/15/2021,1.25
7/15/2021,74.13
7/14/2021,14.99
7/14/2021,130
7/14/2021,20.8
7/13/2021,280.32
7/12/2021,70.28
7/12/2021,29.34
7/12/2021,3608
7/12/2021,32.83
7/12/2021,38.32
7/11/2021,2.5
7/11/2021,44.91
7/10/2021,22.24
7/9/2021,14.91
7/9/2021,16.41
7/7/2021,32.84
7/6/2021,55.78
7/6/2021,49.99
7/5/2021,9.99
7/3/2021,279.55
7/3/2021,129.4
7/3/2021,6
7/3/2021,2
7/3/2021,106.22
7/3/2021,40.59
7/2/2021,26.17
7/1/2021,64.35
7/1/2021,6.99
7/1/2021,3.87
7/1/2021,5.35
6/30/2021,123
6/29/2021,130
6/28/2021,36.85
6/27/2021,36.02
6/27/2021,37.56
6/26/2021,4
6/26/2021,3
6/26/2021,11.99
6/26/2021,21.1
6/23/2021,310
6/23/2021,109.49
6/23/2021,119.99
6/16/2021,5.53
6/16/2021,14.62
6/15/2021,130
6/14/2021,14.99
6/12/2021,3
6/12/2021,197.84
6/11/2021,12.03
6/11/2021,642
6/8/2021,79.89
6/6/2021,8.51
6/6/2021,24.8
6/6/2021,49.99
6/6/2021,242
6/5/2021,12.76
6/3/2021,499.5
6/3/2021,5.29
6/3/2021,252
6/3/2021,716.4
6/3/2021,14.47
6/2/2021,4
6/2/2021,29.16
6/2/2021,15
6/1/2021,1.5
6/1/2021,79.89
6/1/2021,6.99
6/1/2021,77
5/31/2021,123
5/31/2021,55
5/31/2021,165
5/30/2021,1
5/30/2021,236.48
5/30/2021,33.43
5/30/2021,6.48
5/30/2021,86.5
5/29/2021,16.76
5/29/2021,75.28
5/29/2021,1.5
5/29/2021,10
5/28/2021,33.06
5/28/2021,35.85
