Date,Amount
12/31/2019,95.88
12/29/2019,278.95
12/29/2019,1.42
12/26/2019,7.99
12/19/2019,33.35
12/18/2019,550
12/16/2019,44.09
12/16/2019,17.52
12/16/2019,67.57
12/15/2019,7.99
12/15/2019,74.99
12/15/2019,7.71
12/15/2019,4.79
12/14/2019,164.92
12/14/2019,93.91
12/13/2019,16.22
12/13/2019,3.66
12/10/2019,14.22
12/10/2019,6
12/10/2019,72
12/9/2019,6.56
12/7/2019,73.59
12/7/2019,32.81
12/6/2019,9.99
12/6/2019,65.11
12/6/2019,17.9
12/2/2019,46.15
12/1/2019,75
11/30/2019,34.74
11/30/2019,38.4
11/30/2019,5
11/30/2019,7.5
11/30/2019,30.84
11/29/2019,42.88
11/29/2019,16
11/29/2019,27
11/29/2019,49.28
11/26/2019,7.99
11/25/2019,7.99
11/24/2019,35.14
11/23/2019,39.18
11/22/2019,8.1
11/21/2019,22.05
11/21/2019,3.5
11/21/2019,5.75
11/19/2019,9.99
11/16/2019,34.66
11/14/2019,74.99
11/14/2019,120.47
11/10/2019,14.22
11/3/2019,80.87
11/1/2019,75
10/28/2019,51.04
10/26/2019,7.99
10/26/2019,175.2
10/26/2019,3.29
10/24/2019,7.99
10/24/2019,6.24
10/24/2019,11.11
10/20/2019,32.15
10/20/2019,20
10/20/2019,10.08
10/20/2019,12.73
10/19/2019,21.49
10/19/2019,9.99
10/19/2019,18
10/15/2019,98.6
10/15/2019,70.99
10/15/2019,2.24
10/13/2019,8.95
10/12/2019,16.25
10/12/2019,20.9
10/12/2019,19.5
10/11/2019,49.28
10/10/2019,14.22
10/6/2019,28.38
10/5/2019,19
10/5/2019,30
10/1/2019,75
9/30/2019,53.46
9/29/2019,2.48
9/29/2019,7.99
9/29/2019,35.77
9/29/2019,36.93
9/29/2019,28.09
9/28/2019,76.68
9/26/2019,7.99
9/23/2019,17.03
9/22/2019,11.55
9/21/2019,12.57
9/21/2019,2.07
9/19/2019,6.14
9/19/2019,14.99
9/19/2019,9.99
9/18/2019,46.62
9/18/2019,9.44
9/16/2019,17.32
9/14/2019,15.31
9/14/2019,25.23
9/14/2019,49.99
9/14/2019,16
9/14/2019,30
9/13/2019,70.09
9/13/2019,21.35
9/13/2019,43.02
9/12/2019,16.12
9/12/2019,84.45
9/11/2019,63.18
9/10/2019,14.22
9/10/2019,32.25
9/10/2019,75.96
9/9/2019,55.86
9/8/2019,8.75
9/8/2019,11.66
9/8/2019,107.5
9/8/2019,15
9/2/2019,7.99
9/2/2019,25.53
8/26/2019,7.99
8/26/2019,16.27
8/26/2019,11.93
8/26/2019,16.27
8/23/2019,6.39
8/23/2019,31.95
8/22/2019,8.75
8/22/2019,41.57
8/20/2019,14.99
8/20/2019,40
8/20/2019,40
8/19/2019,3.19
8/19/2019,9.99
8/19/2019,25
8/19/2019,35.14
8/18/2019,59.42
8/17/2019,3.86
8/17/2019,14.61
8/14/2019,49.99
8/12/2019,16.35
8/12/2019,54
8/12/2019,23.76
8/12/2019,5
8/11/2019,11.27
8/11/2019,238.96
8/11/2019,134.32
8/11/2019,256.6
8/10/2019,14.22
8/10/2019,7
8/10/2019,48
8/10/2019,20.67
8/10/2019,10
8/10/2019,55.63
8/9/2019,11.77
8/6/2019,82.13
8/6/2019,3.52
8/6/2019,23.52
8/3/2019,21.79
8/2/2019,38.28
8/2/2019,25.53
8/2/2019,5
8/2/2019,6.89
8/1/2019,5.99
8/1/2019,7.99
7/31/2019,119.56
7/31/2019,485.77
7/31/2019,50.55
7/30/2019,14.99
7/28/2019,35.81
7/28/2019,14.59
7/27/2019,17.88
7/27/2019,35.69
7/27/2019,51.42
7/27/2019,4.25
7/27/2019,57.75
7/26/2019,63
7/26/2019,87
7/26/2019,7.99
7/26/2019,19.95
7/24/2019,17.5
7/23/2019,39.99
7/22/2019,20.1
7/22/2019,10
7/22/2019,20.53
7/20/2019,3.99
7/20/2019,5
7/19/2019,13.61
7/19/2019,9.99
7/19/2019,18.09
7/19/2019,27.06
7/19/2019,10
7/19/2019,7.21
